question,answer
FargoRate FairRaceはどのようなアプリですか？,FargoRateを使ったビリヤード対戦を補助するアプリです。対戦相手とのレーティングを確認しながら、対戦中のスコア入力や対戦成績の振り返りに使えます。
FargoRateとは何ですか？,世界中のポケットビリヤードプレイヤーの実力を同じ基準で数値化した、世界共通のレーティングシステムです。
このアプリで入力した対戦結果は、公式のFargoRateに反映されますか？,いいえ。FargoRate FairRaceはFargoRateの情報を取得して表示するだけで、対戦結果を公式のシステムへ送信することはなく、レーティングの更新も行いません。
表示されるレーティングは公式のFargoRateと同じ値ですか？,はい、FargoRateの検索システムから取得した値をそのまま表示しています。ただし取得元が非公式なAPIのため、仕様変更などにより一時的に取得できなくなることがあります。
FargoRate IDを持っていません。利用できますか？,はい。FargoRate IDをお持ちでない方は「ゲスト」として名前とおおよそのレーティングを入力して利用を開始できます。
FargoRate IDはどこで確認できますか？,FargoRateの公式アプリまたはウェブサイトのプロフィール画面で確認できます。IDの入力ページに確認方法の案内があります。
リンクの確認画面に表示された内容が自分と違います。,姓名の一致で候補を絞り込んでいるため、まれに同姓同名の別人が表示されることがあります。内容が異なる場合は確認画面で「違う」を選び、IDを確認したうえでやり直してください。
ゲストとして入力した名前やレーティングはあとから変更できますか？,現在の設定ページからの変更には対応していません。変更したい場合は、一度サインアウトしてゲストとして入力し直してください。
どの種目に対応していますか？,9-ボールと8-ボールに対応しています。対戦を開始する機能は現在開発中です。
入力した個人情報はどのように扱われますか？,取得する情報や利用目的は、プライバシーポリシーにまとめています。
日本語以外の言語には対応していますか？,日本語と英語に対応しています。設定ページの言語切替からいつでも変更できます。
